,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
19530728,   0.14,  -0.01,   0.22,  -0.07,   0.34,  -0.09,   0.03,  -0.46,   0.05,  -0.22
19530729,   0.52,   0.46,   0.42,   1.16,   0.44,   0.09,   0.28,   0.41,   0.60,   0.34
19530730,   0.55,   1.51,   1.11,   1.27,   0.75,   0.20,   0.57,   0.94,   0.30,   1.13
19530731,   0.63,   1.58,   1.07,   0.98,   0.77,   0.10,   0.54,   0.80,   0.50,   0.71
19530803,   0.22,   0.19,   0.42,   0.58,   0.62,   0.07,   0.33,   0.38,   0.49,   0.18
19530804,   0.04,   0.04,  -0.02,  -0.18,  -0.12,  -0.01,   0.26,  -0.10,   0.23,  -0.05
19530805,   0.23,   0.60,   0.17,   0.08,   0.27,   0.02,   0.29,   0.06,   0.09,   0.19
19530806,   0.36,   0.55,   0.50,   0.46,   0.25,   0.11,   0.19,   0.20,   0.39,   0.46
19530807,   0.14,  -0.01,  -0.14,  -0.01,  -0.11,   0.08,  -0.14,   0.01,   0.21,  -0.17
19530810,  -0.17,  -0.29,  -0.13,  -0.17,  -0.11,   0.17,   0.07,   1.09,   0.32,  -0.24
19530811,  -0.04,  -0.42,  -0.01,  -0.27,   0.21,  -0.15,   0.11,   0.11,   0.41,  -0.15
19530812,   0.24,   0.10,   0.50,   0.56,   0.99,   0.26,   0.24,   0.98,   0.28,   0.45
19530813,  -0.12,  -1.28,   0.27,   0.02,   0.11,  -0.05,   0.10,   0.42,   0.02,   0.01
19530814,  -0.13,  -0.80,  -0.47,  -0.35,   0.14,  -0.07,  -0.19,  -0.18,  -0.05,  -0.50
19530817,  -0.31,  -0.43,  -0.39,  -0.16,   0.31,  -0.02,  -0.28,   0.42,  -0.12,  -0.40
19530818,  -0.25,   0.11,  -0.81,  -0.52,  -1.05,  -0.22,  -0.08,  -0.84,  -0.01,  -0.54
19530819,  -0.90,  -0.53,  -0.49,  -1.01,  -0.58,  -0.38,  -0.23,  -0.76,  -0.33,  -0.81
19530820,   0.14,   0.20,   0.18,  -0.42,   0.16,   0.10,   0.09,   0.09,   0.04,   0.30
19530821,  -0.01,   0.17,   0.17,   0.17,   0.02,   0.14,   0.02,   1.22,   0.26,   0.13
19530824,  -0.76,  -1.05,  -1.23,  -1.72,  -1.08,  -0.08,  -0.81,  -1.13,  -0.42,  -1.51
19530825,  -0.21,  -0.94,  -0.45,  -0.76,  -0.50,  -0.23,  -0.57,   0.20,  -0.46,  -0.69
19530826,   0.01,  -0.54,  -0.45,  -0.26,  -0.74,  -0.03,  -0.25,   0.46,   0.06,  -0.08
19530827,  -0.54,   0.05,  -0.40,  -0.34,  -0.35,  -0.16,  -0.42,  -0.77,  -0.38,  -1.09
19530828,  -0.15,  -0.31,  -0.23,  -0.46,  -0.45,   0.18,   0.26,  -0.78,  -0.20,  -0.04
19530831,  -1.36,  -2.03,  -1.96,  -1.85,  -2.45,  -0.59,  -1.36,  -0.98,  -1.17,  -2.48
19530901,   0.25,  -0.05,   0.46,   0.75,   0.85,   0.13,   0.31,   0.36,   0.03,   0.76
19530902,   0.58,   0.46,   0.99,   0.62,   0.99,   0.22,   0.10,   0.26,   0.47,   0.63
19530903,  -0.17,  -0.10,  -0.38,  -0.41,  -0.18,   0.13,   0.01,  -0.25,   0.07,  -0.41
19530904,   0.39,   0.49,   0.24,  -0.05,   0.61,   0.29,   0.21,   0.29,   0.44,   0.40
19530908,   0.22,   0.08,   0.26,   0.06,   0.25,   0.50,   0.19,  -0.04,   0.31,   0.30
19530909,  -0.02,   0.32,   0.10,  -0.16,   0.07,   0.04,  -0.04,  -0.09,   0.09,   0.05
19530910,  -0.61,  -1.51,  -1.00,  -0.95,  -0.82,  -0.17,  -0.38,  -0.80,  -0.45,  -1.31
19530911,  -1.06,  -1.39,  -1.71,  -1.66,  -1.70,  -0.12,  -0.77,  -0.82,  -1.14,  -1.84
19530914,  -1.37,  -1.68,  -1.91,  -2.41,  -2.20,  -0.45,  -1.22,  -1.48,  -1.54,  -2.47
19530915,   0.05,   0.54,   1.09,   1.18,   0.80,  -0.12,   0.58,   0.19,  -0.11,   1.22
19530916,   0.88,   0.50,   0.91,   0.50,   1.22,   0.16,   0.76,   0.93,   0.63,   1.04
19530917,   0.07,   0.58,   0.06,  -0.02,   0.16,   0.20,  -0.38,   0.19,   0.21,  -0.13
19530918,  -0.47,  -0.33,  -0.70,  -0.86,  -0.73,  -0.10,  -0.62,  -0.11,  -0.02,  -0.93
19530921,  -0.24,  -0.82,  -0.17,  -0.47,  -0.14,  -0.15,   0.03,  -0.02,  -0.01,  -0.18
19530922,   0.80,   1.37,   1.66,   1.72,   1.60,   0.37,   0.62,   0.79,   0.94,   1.51
19530923,   0.45,   0.24,   0.37,   0.23,   0.62,   0.22,   0.40,   1.07,   0.39,   0.54
19530924,   0.13,   0.27,   0.13,  -0.33,   0.10,   0.07,   0.15,  -0.65,   0.10,  -0.08
19530925,  -0.03,  -0.12,   0.36,   0.58,   0.97,  -0.11,   0.22,   0.10,   0.23,   0.00
19530928,   0.46,   0.40,   0.64,   0.78,   0.91,   0.00,   0.30,   0.31,   0.48,   1.16
19530929,   0.22,   0.68,   0.20,  -0.12,   0.10,   0.13,  -0.19,   0.44,   0.46,  -0.43
19530930,  -0.22,  -0.68,  -0.36,  -0.84,  -0.09,   0.55,  -0.17,  -0.22,   0.11,  -0.71
19531001,   0.47,   0.29,   0.76,   0.76,   1.37,  -0.04,   0.64,   0.26,   0.55,   0.27
19531002,   0.10,   0.62,   0.62,   0.32,   0.50,   0.00,   0.29,   0.94,   0.44,   0.08
19531005,  -0.35,  -0.40,  -0.61,  -0.64,  -0.25,  -0.07,  -0.31,   0.06,   0.22,  -0.48
19531006,  -0.32,   0.27,  -0.74,  -0.70,  -0.80,  -0.12,  -0.24,  -0.29,  -0.29,  -0.64
19531007,   0.35,   1.27,   0.89,   0.62,   1.10,   0.33,   0.25,   0.75,   0.63,   0.90
19531008,   0.35,   0.04,   0.44,   0.02,   0.29,   0.07,   0.17,   0.26,   0.25,   0.12
19531009,   0.11,  -0.11,  -0.03,  -0.07,   0.55,  -0.02,   0.20,  -0.21,   0.42,  -0.01
19531013,  -0.21,  -0.44,  -0.12,  -0.48,  -0.53,   0.19,   0.02,  -0.16,   0.15,  -0.25
19531014,  -0.03,   0.30,   0.78,   0.52,   0.37,  -0.05,  -0.06,   0.67,   0.57,   0.43
19531015,   0.63,   2.00,   1.32,   1.30,   2.39,   0.32,   0.57,   1.83,   0.34,   1.54
19531016,   0.13,   1.00,   0.89,   0.96,  -0.01,   0.12,   0.14,   0.45,   0.07,   0.76
19531019,   0.23,  -0.27,   0.30,   0.25,   0.25,   0.23,  -0.15,  -0.02,   0.03,   0.21
19531020,  -0.03,  -0.02,   0.14,  -0.29,   0.69,   0.30,  -0.06,   0.23,   0.30,  -0.06
19531021,  -0.09,  -0.13,   0.20,   0.15,  -0.30,   0.00,  -0.16,  -0.67,   0.08,  -0.14
19531022,   0.09,   0.97,   0.44,   0.39,   0.66,   0.17,  -0.03,   0.06,   0.00,   0.17
19531023,  -0.09,   0.45,  -0.07,   0.58,  -0.15,  -0.23,  -0.01,  -0.07,   0.15,   0.11
19531026,  -0.14,   0.08,  -0.16,  -0.37,  -0.34,  -0.43,  -0.29,  -0.68,  -0.11,  -0.44
19531027,  -0.51,  -0.32,  -0.31,   0.03,  -0.21,  -0.93,  -0.20,  -0.58,  -0.20,  -0.37
19531028,  -0.08,  -0.10,   0.37,   0.36,   0.14,   0.14,   0.04,  -0.12,   0.23,   0.19
19531029,   0.31,   2.52,   0.89,   1.65,   1.45,   0.08,   0.05,   0.09,   0.39,   1.16
19531030,  -0.23,  -0.50,  -0.12,   0.18,  -0.12,   1.35,  -0.01,  -0.15,   0.17,   0.10
19531102,  -0.01,   0.85,   0.45,   0.84,   0.21,   0.14,   0.23,   0.73,   0.47,  -0.08
19531104,   0.12,  -1.10,   0.22,   0.14,   0.69,   0.16,   0.48,   0.47,   0.25,  -0.13
19531105,   0.55,   0.17,   1.00,   0.98,   0.73,   0.26,   0.68,   1.74,   0.14,   0.68
19531106,   0.15,   0.46,   0.02,  -0.26,  -0.20,  -0.14,   0.20,   0.17,   0.07,   0.74
19531109,  -0.50,  -0.07,  -0.03,  -0.38,   0.29,   0.29,  -0.31,  -0.18,   0.05,   0.08
19531110,  -0.73,  -0.87,  -0.58,  -0.64,  -0.59,   0.26,  -0.24,  -0.70,  -0.40,  -0.66
19531112,   0.22,   0.09,   0.51,   0.45,  -0.42,   0.10,   0.09,   0.57,   0.38,   0.24
19531113,   0.13,   0.32,   0.22,   0.30,   0.32,  -0.02,   0.62,   0.66,   0.33,   0.01
19531116,  -0.37,  -1.60,  -0.54,  -0.67,  -0.86,  -0.08,  -0.01,  -0.49,  -0.17,  -0.55
19531117,  -0.34,  -0.47,  -0.59,  -0.28,  -1.19,  -0.08,   0.14,  -0.31,  -0.22,  -0.24
19531118,   0.16,   0.04,   0.38,   0.06,   0.36,   0.04,   0.54,   0.81,   0.09,   0.28
19531119,   0.15,   0.86,   0.73,   0.32,   0.57,   0.15,   0.16,   0.71,   0.33,   0.34
19531120,  -0.13,  -0.06,  -0.05,  -0.03,   0.85,   0.26,   0.09,  -0.14,   0.20,  -0.05
19531123,  -0.15,  -0.72,  -0.19,  -0.12,  -0.23,   0.13,   0.01,   0.38,   0.19,  -0.26
19531124,   0.19,   1.60,   0.58,   0.13,   1.79,   0.44,  -0.04,   0.82,   0.38,   0.24
19531125,   0.33,  -0.36,   0.43,   0.18,   0.41,   0.21,   0.19,   0.03,   0.22,   0.44
19531127,   0.49,   0.80,   0.84,   0.17,   1.97,   0.15,   0.27,   1.58,   0.25,   0.89
19531130,   0.08,   0.62,   0.74,   0.80,   0.29,  -0.03,   0.23,   0.92,   0.43,   0.83
19531201,  -0.15,  -0.10,   0.13,   0.23,   0.11,  -0.07,   0.53,   0.07,   0.15,   0.13
19531202,   0.46,   0.20,   0.56,   1.10,   1.50,   0.09,   0.91,  -0.01,   0.44,   0.44
19531203,   0.43,   0.08,   0.41,   0.06,  -0.21,   0.15,   0.63,  -0.38,   0.16,  -0.04
19531204,   0.03,   0.46,  -0.33,  -0.15,  -0.27,  -0.02,  -0.14,   0.04,   0.14,  -0.12
19531207,  -0.20,   0.29,  -0.26,   0.06,  -0.81,  -0.09,  -0.44,   0.15,  -0.02,  -0.35
19531208,  -0.30,  -0.71,  -0.26,  -0.67,  -0.62,   0.06,   0.04,  -0.32,  -0.10,  -0.56
19531209,  -0.92,  -0.11,   0.08,  -0.05,   0.38,   0.23,  -0.02,  -0.10,   0.10,   0.02
19531210,   0.09,  -0.65,  -0.10,  -0.15,  -0.19,  -0.09,  -0.34,   0.12,   0.08,  -0.20
19531211,   0.25,  -0.90,   0.07,   0.19,  -0.42,   0.38,  -0.13,  -0.30,   0.09,  -0.29
19531214,   0.03,  -0.61,  -0.38,  -0.13,  -0.35,   0.03,  -0.34,   0.22,   0.10,  -0.31
19531215,  -0.25,   0.69,   0.07,  -0.48,   0.49,  -0.06,   0.50,  -0.37,  -0.09,  -0.02
19531216,   0.15,   1.41,   1.34,   1.20,   1.51,   0.04,   0.04,   0.84,   0.14,   0.71
19531217,   0.48,  -0.35,   0.03,  -0.31,  -0.13,  -0.09,  -0.13,  -0.31,   0.00,   0.09
19531218,  -0.21,   0.07,   0.41,   0.60,   0.57,   0.03,  -0.07,   0.27,   0.07,   0.12
19531221,  -0.26,  -0.28,  -0.28,  -0.18,   0.27,   0.05,  -0.05,   0.02,   0.10,  -0.53
19531222,  -0.61,  -0.92,  -1.21,  -0.39,  -0.99,  -0.39,  -0.60,  -0.86,  -0.53,  -0.92
19531223,  -0.04,  -0.85,   0.11,  -0.16,  -0.26,  -0.06,  -0.01,   0.21,  -0.07,   0.20
19531224,   0.31,   0.40,   0.52,   0.59,   0.40,   0.24,   0.32,   0.01,   0.08,   0.25
19531228,  -0.35,  -0.27,  -0.53,  -0.85,  -0.75,   0.08,  -0.13,   0.24,  -0.07,  -0.33
19531229,  -0.24,  -0.68,  -0.86,  -0.60,  -1.00,  -0.07,  -0.72,  -0.44,  -0.33,  -0.99
19531230,   0.57,   1.24,   0.93,   0.59,   0.93,   0.05,   0.58,   0.29,   0.27,   0.65
19531231,   0.12,   0.44,   0.19,  -0.03,   0.57,   0.05,   0.77,  -0.73,  -0.01,  -0.27
19540104,   1.01,   1.03,   0.66,   0.99,   0.78,   0.27,   0.27,   1.84,   0.28,   1.25
19540105,   0.72,   1.42,   0.62,   0.75,   0.35,   0.35,   0.22,   0.51,   0.35,   1.07
19540106,   0.33,   0.47,  -0.11,   0.67,   0.23,  -0.05,   0.26,   0.00,   0.02,   0.25
19540107,  -0.79,  -0.35,  -0.51,  -0.09,  -0.63,   0.02,   0.05,   0.21,  -0.09,  -0.48
19540108,  -0.46,  -1.37,  -0.44,  -0.40,  -0.11,  -0.08,  -0.20,  -0.64,  -0.04,  -0.38
19540111,  -0.57,  -0.63,  -0.64,  -0.59,  -0.46,  -0.16,  -0.19,  -0.56,  -0.21,  -0.49
19540112,   0.51,   0.07,   0.49,   0.72,   0.84,   0.14,   0.32,   0.12,   0.45,   0.84
19540113,   0.33,   1.21,   0.43,   0.76,   0.45,   0.24,   0.26,   0.36,   0.33,   0.68
19540114,   0.45,   0.88,   0.47,   0.60,   0.77,   0.11,   0.25,   1.00,   0.24,   0.15
19540115,   0.66,   1.44,   0.99,   0.83,   1.32,   0.48,   0.76,   0.98,   0.59,   0.90
19540118,   0.28,  -0.26,  -0.08,   0.32,  -0.25,   0.44,   0.09,  -0.25,   0.24,   0.06
19540119,   0.49,   2.14,   0.68,   0.87,   1.08,   0.17,   0.74,   0.06,   0.06,   0.75
19540120,   0.54,  -0.05,   0.18,   0.75,   0.30,  -0.11,   0.18,  -0.26,   0.23,   0.10
19540121,  -0.11,   0.68,  -0.04,  -0.02,  -0.24,   0.06,  -0.18,   0.49,  -0.02,  -0.23
19540122,  -0.03,  -0.25,   0.29,   0.70,  -0.14,  -0.22,  -0.21,   0.37,   0.14,   0.76
19540125,   0.21,   0.05,   0.46,   0.59,   0.82,   0.04,   0.08,   0.57,   0.19,   0.01
19540126,   0.44,   0.69,   1.15,   0.44,   1.66,   0.18,   0.45,   0.80,   0.42,   0.70
19540127,   0.07,  -0.93,  -0.45,  -0.13,   0.06,  -0.18,  -0.24,  -0.42,  -0.14,  -0.21
19540128,   0.03,  -0.01,  -0.18,   0.26,  -0.09,   0.14,   0.20,   0.56,   0.12,   0.09
19540129,   0.01,  -1.00,   0.48,   0.29,  -0.06,   0.01,   0.16,  -0.19,   0.13,   0.68
19540201,  -0.14,  -1.09,  -0.24,  -0.11,  -0.38,   0.06,  -0.26,   0.34,   0.06,  -0.29
19540202,  -0.39,  -0.31,  -0.22,  -0.18,   0.18,  -0.08,   0.26,  -0.14,   0.08,  -0.23
19540203,   0.16,   1.73,   0.72,   0.40,   1.09,   0.11,   0.09,   0.24,   0.27,   0.50
19540204,   0.34,   0.96,   0.59,   1.31,   0.67,   0.15,   0.28,   0.29,   0.39,   0.66
19540205,   0.20,  -0.35,   0.11,   1.26,   0.09,   0.13,   0.19,  -0.11,   0.33,   0.40
19540208,   0.09,   0.12,  -0.16,  -0.10,  -0.28,   0.24,  -0.09,   0.06,   0.12,   0.21
19540209,  -0.12,   0.06,   0.11,  -0.22,  -0.07,   0.66,  -0.08,   0.37,   0.08,  -0.08
19540210,  -0.01,  -0.33,  -0.17,  -0.21,  -0.56,  -0.16,  -0.07,   0.11,   0.00,   0.07
19540211,  -0.36,  -0.54,  -0.27,  -0.34,   1.01,   0.07,   0.11,   0.24,  -0.06,   0.07
19540212,   0.52,   0.23,   0.28,   0.19,   1.42,   0.08,   0.44,  -0.33,   0.16,   0.31
19540215,  -0.60,  -0.91,  -0.45,  -0.21,  -0.45,   0.08,  -0.21,   0.00,  -0.08,  -0.24
19540216,  -0.57,  -0.61,  -0.75,  -0.94,  -1.62,  -0.34,  -0.61,  -0.61,  -0.51,  -0.94
19540217,   0.32,   0.09,   0.22,   0.59,   0.59,   0.04,   0.06,  -0.61,   0.01,   0.38
19540218,   0.33,   0.31,   0.43,   0.78,   1.93,   0.16,   0.18,   0.68,   0.12,   0.11
19540219,   0.03,   0.54,  -0.18,  -0.39,  -0.64,   0.09,  -0.03,  -0.26,   0.13,  -0.18
19540223,  -0.43,  -0.02,  -0.54,  -0.29,  -0.63,   0.10,  -0.45,  -0.49,  -0.22,  -0.07
19540224,  -0.45,   0.21,  -0.15,  -0.06,  -0.19,   0.05,   0.22,  -0.21,   0.17,  -0.11
19540225,   0.30,   0.65,   0.55,   0.26,   1.01,   0.47,  -0.27,   0.51,   0.18,   0.53
19540226,   0.49,   1.02,   1.09,   1.07,   1.78,   0.64,   0.72,  -0.25,   0.33,   0.43
19540301,   0.58,   0.36,   0.50,   0.52,   1.91,   0.41,   0.26,   0.36,   0.21,   0.17
19540302,   0.09,   0.74,   0.18,   0.34,   0.70,   0.10,   0.25,   0.20,   0.03,   0.15
19540303,   0.06,  -0.43,  -0.20,   0.25,   0.95,  -0.01,  -0.31,  -0.07,   0.07,   0.01
19540304,  -0.14,  -0.45,   0.22,   0.85,   0.25,   0.05,  -0.25,   0.43,   0.15,   0.44
19540305,   0.26,   0.67,   0.70,   0.60,  -0.48,   0.22,   0.23,  -0.48,   0.30,   0.52
19540308,  -0.23,  -0.23,  -0.30,  -0.18,  -0.36,   0.25,  -0.45,  -0.34,   0.09,  -0.52
19540309,   0.36,   0.03,   0.39,   0.10,   0.32,   0.08,  -0.23,   0.14,   0.24,   0.11
19540310,   0.12,   0.44,   0.46,   0.26,  -0.12,   0.62,   0.10,   0.43,   0.19,   0.16
19540311,   0.26,   0.05,   0.32,   0.98,   0.38,   0.85,   0.20,   0.02,   0.50,   0.22
19540312,  -0.24,  -0.13,  -0.13,   0.00,  -0.05,  -0.49,  -0.04,   0.06,   0.16,  -0.11
19540315,  -0.10,  -0.25,  -0.46,  -0.35,  -0.18,  -0.33,  -0.53,  -0.81,  -0.16,  -0.28
19540316,   0.16,   0.35,   0.25,  -0.13,  -0.02,  -0.30,  -0.41,   0.06,   0.03,  -0.11
19540317,   0.32,   0.34,   0.12,  -0.05,  -0.28,  -0.12,   0.26,   0.14,   0.19,   0.47
19540318,   0.15,   0.63,   0.81,   0.43,   0.30,   0.50,   0.25,   0.88,   0.31,   0.57
19540319,   0.19,   0.41,   0.72,   0.29,   0.63,   0.20,  -0.01,  -0.41,   0.28,   0.07
19540322,  -0.04,   0.19,  -0.08,  -0.28,   0.52,  -0.24,  -0.03,  -0.04,  -0.01,  -0.06
19540323,  -0.51,  -0.89,  -0.87,  -1.02,  -0.57,  -0.26,   0.17,  -0.91,  -0.16,  -0.98
19540324,  -0.53,  -0.54,  -0.76,  -0.13,  -0.53,  -0.42,  -0.43,  -0.42,  -0.12,  -0.57
19540325,  -0.06,   0.10,  -0.18,  -0.19,   0.54,  -0.10,   0.11,  -0.04,  -0.06,  -0.45
19540326,   0.21,   0.28,   0.86,   0.78,   1.41,   0.17,   0.56,   0.25,   0.21,   0.44
19540329,   0.17,   0.61,   0.51,   0.37,   1.49,   0.02,   0.12,   0.10,   0.15,   0.16
19540330,   0.25,   0.09,   0.66,  -0.04,   0.65,   0.12,   0.33,   0.33,   0.03,   0.26
19540331,   0.06,   1.10,   1.05,   0.83,   1.12,   0.40,   0.24,   0.42,   0.28,   1.11
19540401,   0.48,   1.28,   1.04,   0.74,   0.72,   0.21,   1.06,   0.08,   0.14,   0.48
19540402,   0.52,  -0.06,   0.29,  -0.04,  -0.16,   0.10,   0.15,  -0.31,   0.09,  -0.28
19540405,   0.26,   0.16,   0.04,   0.23,  -0.38,   0.02,   0.41,   0.05,   0.17,  -0.47
19540406,  -0.86,  -1.16,  -0.85,  -1.24,  -1.30,  -0.42,  -0.86,  -0.74,  -0.44,  -0.88
19540407,   0.19,   0.44,   0.94,   0.60,   0.55,   0.02,  -0.18,   0.87,   0.36,   0.63
19540408,   0.31,   1.00,   0.89,   1.03,   0.91,   0.33,   0.11,   0.38,   0.24,   0.89
19540409,   0.27,   1.74,   0.74,   0.28,   0.00,   0.16,  -0.05,   0.04,   0.09,   0.33
19540412,  -0.18,   0.08,  -0.15,   0.00,  -0.09,  -0.03,  -0.38,  -0.03,   0.05,   0.08
19540413,  -0.22,   0.14,   0.03,   0.71,  -0.24,   0.09,   0.42,   0.10,   0.11,   0.30
19540414,   0.07,   0.22,   0.88,   1.29,   1.65,   0.18,   0.31,  -0.21,   0.30,   0.26
19540415,   0.03,   0.09,   0.74,   0.37,   0.85,   0.03,   0.18,   1.10,   0.22,   0.01
19540419,  -0.43,  -1.05,  -0.94,  -0.33,   0.19,  -0.30,  -0.09,  -0.28,  -0.18,  -0.61
19540420,   0.23,  -0.56,   0.11,   0.17,  -0.16,  -0.02,   0.21,   0.16,   0.06,  -0.01
19540421,  -0.04,  -0.95,   0.00,  -0.24,   0.35,   0.07,  -0.05,  -0.43,   0.06,  -0.02
19540422,   0.01,   0.59,   0.12,   0.31,   1.00,  -0.06,   0.14,   0.05,  -0.06,   0.08
19540423,   0.25,   0.57,   0.72,   0.36,   0.14,   0.31,   0.12,   0.42,  -0.09,   0.55
19540426,   0.24,   0.82,   0.09,   0.00,   0.25,   0.19,  -0.05,  -0.71,  -0.01,  -0.08
19540427,  -0.39,  -0.97,  -0.61,  -0.58,   0.69,   0.13,  -0.57,  -0.21,  -0.35,  -0.21
19540428,   0.08,   0.19,  -0.03,   0.52,   0.71,   0.18,   0.38,   0.19,  -0.11,   0.78
19540429,   0.57,   0.89,   1.31,   1.62,   2.58,   0.80,   0.30,   1.36,   0.69,   1.16
19540430,  -0.40,   0.63,   0.26,   0.18,   0.52,  -0.05,  -0.03,  -0.67,  -0.07,  -0.16
19540503,   0.21,  -0.54,  -0.26,  -0.14,  -0.50,   0.22,   0.09,  -0.06,  -0.02,   0.35
19540504,   0.44,   0.48,   0.09,   0.03,  -1.11,   0.81,  -0.12,  -0.09,   0.21,   0.56
19540505,  -0.15,   1.10,  -0.35,  -0.03,   0.03,  -0.12,  -0.06,   0.27,   0.14,  -0.11
19540506,   0.46,   1.16,   0.80,   0.56,   0.32,  -0.08,   0.36,  -0.19,   0.30,   0.13
19540507,   0.01,   0.79,   0.46,   0.58,   0.25,   0.24,   0.54,  -0.16,   0.04,   0.56
19540510,   0.05,   0.39,   0.14,   0.03,  -0.53,   0.16,   0.19,  -0.45,   0.13,   0.26
19540511,  -0.07,  -0.45,  -0.41,  -0.57,  -0.19,  -0.08,  -0.23,   0.09,  -0.04,  -0.66
19540512,   0.71,   0.52,   1.09,   1.00,   0.65,   0.00,   0.92,   0.32,   0.28,   0.64
19540513,   0.25,  -1.62,  -0.18,  -0.20,  -0.22,  -0.64,  -0.23,   0.50,  -0.13,   0.06
19540514,   0.43,   1.17,   0.69,   0.60,  -0.46,   0.28,   0.47,   0.51,   0.21,   0.52
19540517,   0.11,  -0.45,   0.45,   0.14,   0.18,   0.29,   0.14,   0.17,   0.16,   0.40
19540518,   0.18,  -0.69,   0.25,   0.40,  -0.11,   0.39,   0.03,   0.64,   0.14,   0.18
19540519,  -0.75,  -1.18,  -0.41,   0.09,   0.12,  -0.04,   0.09,   0.42,   0.04,   0.19
19540520,   0.13,   1.18,   0.51,   0.00,   0.23,   0.48,   0.00,   0.06,   0.16,   0.56
19540521,   0.15,   1.13,   0.52,   0.24,   1.99,   0.09,   0.21,   0.10,   0.33,   0.47
19540524,   0.01,   0.02,   0.04,  -0.03,   0.33,  -0.20,   0.14,   0.10,   0.15,   0.06
19540525,  -0.17,  -0.22,  -0.28,  -0.17,  -0.74,  -0.06,  -0.30,  -0.38,   0.20,  -0.33
19540526,   0.39,   1.91,   0.83,   0.39,  -0.12,  -0.01,   0.55,   0.01,   0.31,   0.27
19540527,  -0.14,  -0.80,  -0.10,   0.02,  -0.62,  -0.37,   0.07,   0.05,  -0.19,  -0.31
19540528,   0.11,   0.60,   0.54,   0.03,   0.13,  -0.11,  -0.03,  -0.28,   0.17,   0.53
19540601,   0.17,   0.07,   0.30,  -0.01,   0.07,   0.26,   0.47,   0.03,   0.32,  -0.05
19540602,  -0.15,  -0.24,  -0.08,  -0.40,  -0.56,   0.10,   0.16,  -0.26,  -0.10,  -0.18
19540603,   0.02,  -0.19,   0.05,   0.01,   0.29,  -0.05,   0.09,   0.43,   0.04,   0.34
19540604,  -0.05,  -0.20,  -0.28,  -0.20,  -0.60,  -0.08,  -0.03,  -0.06,   0.06,  -0.08
19540607,   0.11,  -0.80,  -0.13,  -0.26,  -0.04,   0.48,  -0.10,  -0.18,  -0.04,  -0.25
19540608,  -1.09,  -2.02,  -2.65,  -2.65,  -1.76,  -0.93,  -0.87,  -1.51,  -1.18,  -2.23
19540609,  -0.26,  -0.86,  -0.50,  -0.52,  -0.12,  -0.05,  -0.75,  -0.09,  -0.57,  -0.22
19540610,   0.53,   1.22,   0.74,   0.40,   0.59,  -0.23,   0.61,  -1.01,   0.39,   0.89
19540611,   0.21,   1.30,   0.62,   0.98,   0.91,   0.23,   0.09,   0.97,   0.20,   0.99
19540614,   0.13,   0.11,   0.09,   0.01,   0.82,   0.04,   0.11,  -0.56,  -0.16,  -0.38
19540615,   0.34,   1.12,   0.92,   0.54,   1.83,   0.03,   0.49,   0.54,   0.31,   1.16
19540616,   0.49,   0.54,   0.74,   0.89,   2.12,   0.27,   0.13,   0.22,   0.32,   0.88
19540617,   0.15,  -0.55,  -0.06,  -0.64,   0.30,   0.14,   0.25,  -0.41,   0.24,   0.06
19540618,  -0.11,   0.53,   0.16,  -0.35,   0.10,   0.09,   0.28,  -0.22,   0.21,  -0.19
19540621,   0.17,   0.36,   0.48,  -0.36,   1.23,  -0.39,   0.28,  -0.30,  -0.11,  -0.02
19540622,  -0.64,  -0.45,   0.41,  -0.45,   1.51,  -0.06,   0.50,  -0.84,   0.26,  -0.22
19540623,   0.24,   0.13,   0.15,  -0.22,   1.08,   0.04,   0.44,   0.28,   0.13,   0.28
19540624,  -0.11,   0.56,   0.71,   0.24,   1.91,   0.91,  -0.09,   0.72,   0.15,   0.84
19540625,  -0.03,   0.09,   0.59,  -1.16,   0.89,   0.09,   0.26,  -0.83,   0.23,   0.21
19540628,   0.40,   0.23,   2.32,  -1.12,   0.95,   0.04,   0.09,  -0.40,   0.08,   0.33
19540629,   0.15,   0.47,  -0.12,   0.02,  -0.36,  -0.14,   0.19,   0.73,   0.34,  -0.28
19540630,  -0.07,  -0.15,  -0.80,  -0.71,  -1.73,  -0.20,  -0.12,   0.33,   0.19,  -0.37
19540701,   0.12,   1.50,   0.12,  -0.80,   0.02,  -0.09,   0.24,   0.06,   0.07,   0.05
19540702,   0.37,   2.44,   1.32,   1.20,   0.71,   0.30,   0.59,   0.93,   0.43,   0.45
19540706,   0.61,   1.42,   1.29,   0.37,   1.40,   0.43,   0.50,   0.05,   0.45,   0.72
19540707,   0.33,   0.01,  -0.30,   0.39,  -0.41,  -0.01,   0.18,   0.18,   0.32,   0.16
19540708,   0.02,  -0.18,  -0.24,  -0.14,  -0.94,   0.26,   0.04,   0.08,   0.17,   0.03
19540709,   0.17,   2.01,   0.62,  -0.21,   0.34,   0.57,   0.28,   0.99,   0.33,   0.65
19540712,   0.18,  -0.09,   0.03,  -0.06,  -0.31,   0.31,   0.41,   0.76,   0.35,   0.51
19540713,   0.13,  -0.70,  -0.34,  -0.54,  -1.03,  -0.19,  -0.40,  -0.08,   0.30,   0.66
19540714,   0.33,   0.31,   0.38,  -0.17,   0.09,   0.35,  -0.01,  -0.17,   0.34,   0.96
